Tid	Kanal A
(ms)	(V)

17.59999956	2.62487700
17.64999955	2.71868800
17.69999955	2.62487700
17.74999955	2.71868800
17.79999955	2.71868800
17.84999955	2.62487700
17.89999955	2.62487700
17.94999955	2.62487700
17.99999955	2.71868800
18.04999954	2.62487700
18.09999954	2.62487700
18.14999954	2.71868800
18.19999954	2.62487700
18.24999954	2.71868800
18.29999954	2.62487700
18.34999954	2.62487700
18.39999954	2.62487700
18.44999953	2.62487700
18.49999953	2.62487700
18.54999953	2.71868800
18.59999953	2.62487700
18.64999953	2.71868800
18.69999953	2.62487700
18.74999953	2.71868800
18.79999953	2.62487700
18.84999952	2.62487700
18.89999952	2.62487700
18.94999952	2.71868800
18.99999952	2.71868800
19.04999952	2.71868800
19.09999952	2.62487700
19.14999952	2.71868800
19.19999951	2.71868800
19.24999951	2.71868800
19.29999951	2.62487700
19.34999951	2.62487700
19.39999951	2.71868800
19.44999951	2.71868800
19.49999951	2.62487700
19.54999951	2.62487700
19.59999950	2.71868800
19.64999950	2.71868800
19.69999950	2.62487700
19.74999950	2.62487700
19.79999950	2.62487700
19.84999950	2.62487700
19.89999950	2.62487700
19.94999950	2.62487700
19.99999949	2.71868800
20.04999949	2.71868800
20.09999949	2.62487700
20.14999949	2.62487700
20.19999949	2.62487700
20.24999949	2.62487700
20.29999949	2.71868800
20.34999949	2.71868800
20.39999948	2.62487700
20.44999948	2.71868800
20.49999948	2.71868800
20.54999948	2.62487700
20.59999948	2.62487700
20.64999948	2.62487700
20.69999948	2.71868800
20.74999948	2.62487700
20.79999947	2.62487700
20.84999947	2.71868800
20.89999947	2.62487700
20.94999947	2.62487700
20.99999947	2.71868800
21.04999947	2.71868800
21.09999947	2.71868800
21.14999947	2.71868800
21.19999946	2.71868800
21.24999946	2.71868800
21.29999946	2.62487700
21.34999946	2.62487700
21.39999946	2.71868800
21.44999946	2.62487700
21.49999946	2.62487700
21.54999946	2.62487700
21.59999945	2.62487700
21.64999945	2.62487700
21.69999945	2.62487700
21.74999945	2.62487700
21.79999945	2.62487700
21.84999945	2.62487700
21.89999945	2.62487700
21.94999945	2.71868800
21.99999944	2.62487700
22.04999944	2.62487700
22.09999944	2.62487700
22.14999944	2.62487700
22.19999944	2.71868800
22.24999944	2.62487700
22.29999944	2.62487700
22.34999944	2.62487700
22.39999943	2.62487700
22.44999943	2.71868800
22.49999943	2.71868800
22.54999943	2.62487700
22.59999943	2.62487700
22.64999943	2.62487700
22.69999943	2.62487700
22.74999943	2.62487700
22.79999942	2.71868800
22.84999942	2.62487700
22.89999942	2.62487700
22.94999942	2.71868800
22.99999942	2.62487700
23.04999942	2.71868800
23.09999942	2.71868800
23.14999942	2.71868800
23.19999941	2.71868800
23.24999941	2.62487700
23.29999941	2.71868800
23.34999941	2.62487700
23.39999941	2.71868800
23.44999941	2.62487700
23.49999941	2.62487700
23.54999941	2.62487700
23.59999940	2.62487700
23.64999940	2.62487700
23.69999940	2.62487700
23.74999940	2.71868800
23.79999940	2.62487700
23.84999940	2.62487700
23.89999940	2.71868800
23.94999939	2.71868800
23.99999939	2.62487700
24.04999939	2.71868800
24.09999939	2.71868800
24.14999939	2.71868800
24.19999939	2.62487700
24.24999939	2.62487700
24.29999939	2.62487700
24.34999938	2.71868800
24.39999938	2.71868800
24.44999938	2.62487700
24.49999938	2.62487700
24.54999938	2.62487700
24.59999938	2.62487700
24.64999938	2.62487700
24.69999938	2.62487700
24.74999937	2.62487700
24.79999937	2.62487700
24.84999937	2.62487700
24.89999937	2.62487700
24.94999937	2.62487700
24.99999937	2.62487700
25.04999937	2.62487700
25.09999937	2.62487700
25.14999936	2.62487700
25.19999936	2.62487700
25.24999936	2.71868800
25.29999936	2.71868800
25.34999936	2.71868800
25.39999936	2.62487700
25.44999936	2.71868800
25.49999936	2.62487700
25.54999935	2.62487700
25.59999935	2.71868800
25.64999935	2.62487700
25.69999935	2.71868800
25.74999935	2.71868800
25.79999935	2.62487700
25.84999935	2.62487700
25.89999935	2.62487700
25.94999934	2.62487700
25.99999934	2.71868800
26.04999934	2.62487700
26.09999934	2.62487700
26.14999934	2.71868800
26.19999934	2.62487700
26.24999934	2.71868800
26.29999934	2.71868800
26.34999933	2.71868800
26.39999933	2.62487700
26.44999933	2.71868800
26.49999933	2.71868800
26.54999933	2.62487700
26.59999933	2.62487700
26.64999933	2.62487700
26.69999933	2.71868800
26.74999932	2.62487700
26.79999932	2.62487700
26.84999932	2.62487700
26.89999932	2.62487700
26.94999932	2.62487700
26.99999932	2.62487700
27.04999932	2.62487700
27.09999932	2.62487700
27.14999931	2.71868800
27.19999931	2.71868800
27.24999931	2.62487700
27.29999931	2.62487700
27.34999931	2.62487700
27.39999931	2.71868800
27.44999931	2.71868800
27.49999931	2.62487700
27.54999930	2.62487700
27.59999930	2.62487700
27.64999930	2.62487700
27.69999930	2.71868800
27.74999930	2.62487700
27.79999930	2.71868800
27.84999930	2.62487700
27.89999930	2.62487700
27.94999929	2.71868800
27.99999929	2.71868800
28.04999929	2.71868800
28.09999929	2.71868800
28.14999929	2.62487700
28.19999929	2.62487700
28.24999929	2.62487700
28.29999929	2.71868800
28.34999928	2.71868800
28.39999928	2.71868800
28.44999928	2.71868800
28.49999928	2.62487700
28.54999928	2.62487700
28.59999928	2.71868800
28.64999928	2.71868800
28.69999927	2.62487700
28.74999927	2.62487700
28.79999927	2.71868800
28.84999927	2.62487700
28.89999927	2.62487700
28.94999927	2.62487700
28.99999927	2.71868800
29.04999927	2.62487700
29.09999926	2.62487700
29.14999926	2.62487700
29.19999926	2.62487700
29.24999926	2.71868800
29.29999926	2.71868800
29.34999926	2.62487700
29.39999926	2.62487700
29.44999926	2.62487700
29.49999925	2.71868800
29.54999925	2.62487700
29.59999925	2.62487700
29.64999925	2.71868800
29.69999925	2.62487700
29.74999925	2.71868800
29.79999925	2.71868800
29.84999925	2.71868800
29.89999924	2.71868800
29.94999924	2.62487700
29.99999924	2.62487700
30.04999924	2.62487700
30.09999924	2.62487700
30.14999924	2.71868800
30.19999924	2.62487700
30.24999924	2.71868800
30.29999923	2.62487700
30.34999923	2.71868800
30.39999923	2.71868800
30.44999923	2.71868800
30.49999923	2.62487700
30.54999923	2.71868800
30.59999923	2.62487700
30.64999923	2.62487700
30.69999922	2.71868800
30.74999922	2.71868800
30.79999922	2.62487700
30.84999922	2.62487700
30.89999922	2.71868800
30.94999922	2.62487700
30.99999922	2.62487700
31.04999922	2.71868800
31.09999921	2.71868800
31.14999921	2.62487700
31.19999921	2.62487700
31.24999921	2.62487700
31.29999921	2.62487700
31.34999921	2.62487700
31.39999921	2.71868800
31.44999921	2.62487700
31.49999920	2.62487700
31.54999920	2.62487700
31.59999920	2.62487700
31.64999920	2.62487700
31.69999920	2.62487700
31.74999920	2.62487700
31.79999920	2.62487700
31.84999920	2.62487700
31.89999919	2.71868800
31.94999919	2.62487700
31.99999919	2.71868800
32.04999919	2.62487700
32.09999919	2.62487700
32.14999919	2.62487700
32.19999919	2.71868800
32.24999919	2.62487700
32.29999918	2.71868800
32.34999918	2.62487700
32.39999918	2.71868800
32.44999918	2.62487700
32.49999918	2.62487700
32.54999918	2.62487700
32.59999918	2.62487700
32.64999918	2.62487700
32.69999917	2.62487700
32.74999917	2.71868800
32.79999917	2.71868800
32.84999917	2.62487700
32.89999917	2.71868800
32.94999917	2.62487700
32.99999917	2.62487700
33.04999917	2.53106500
33.09999916	2.62487700
33.14999916	2.62487700
33.19999916	2.62487700
33.24999916	2.62487700
33.29999916	2.62487700
33.34999916	2.71868800
33.39999916	2.62487700
33.44999915	2.71868800
33.49999915	2.62487700
33.54999915	2.71868800
33.59999915	2.62487700
33.64999915	2.71868800
33.69999915	2.62487700
33.74999915	2.71868800
33.79999915	2.62487700
33.84999914	2.71868800
33.89999914	2.62487700
33.94999914	2.62487700
33.99999914	2.71868800
34.04999914	2.71868800
34.09999914	2.71868800
